scheduledDeparture,actualDeparture,isDelayed,delaySeconds,destination,routeId,routeName,transportMode,serviceJourneyId
2026-04-16T19:01:00+02:00,2026-04-16T19:03:29+02:00,1,149.0,Spikkestad,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,rail,VYG:ServiceJourney:2255_443677-R
2026-04-16T19:04:00+02:00,2026-04-16T19:04:13+02:00,1,13.0,Drammen,VYG:Line:R13,Drammen-Oslo S-Dal,rail,VYG:ServiceJourney:1654_443330-R
2026-04-16T19:17:00+02:00,2026-04-16T19:17:17+02:00,1,17.0,Asker,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,rail,VYG:ServiceJourney:2155_443564-R
2026-04-16T19:14:00+02:00,2026-04-16T19:23:01+02:00,1,541.0,Asker,VYG:Line:R14,Asker-Oslo S-Kongsvinger,rail,VYG:ServiceJourney:1028_442938-R
2026-04-16T19:24:00+02:00,2026-04-16T19:28:05+02:00,1,245.0,Kongsberg,VYG:Line:R12,Kongsberg-Oslo S-Eidsvoll,rail,VYG:ServiceJourney:529_444336-R
2026-04-16T19:31:00+02:00,2026-04-16T19:33:01+02:00,1,121.0,Spikkestad,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,rail,VYG:ServiceJourney:2257_443680-R
2026-04-16T19:34:00+02:00,2026-04-16T19:40:17+02:00,1,377.0,Drammen,VYG:Line:R13,Drammen-Oslo S-Dal,rail,VYG:ServiceJourney:1656_443335-R
2026-04-16T19:47:00+02:00,2026-04-16T19:46:57+02:00,0,-3.0,Asker,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,rail,VYG:ServiceJourney:2157_443566-R
2026-04-16T19:54:00+02:00,2026-04-16T19:54:41+02:00,1,41.0,Skien,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,rail,VYG:ServiceJourney:831_444411-R
2026-04-16T19:44:00+02:00,2026-04-16T19:58:01+02:00,1,841.0,Drammen,VYG:Line:RE10,Drammen-Oslo S-Lillehammer,rail,VYG:ServiceJourney:328-LHM_465030-R
2026-04-16T20:01:00+02:00,2026-04-16T20:03:26+02:00,1,146.0,Spikkestad,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,rail,VYG:ServiceJourney:2259_443684-R
2026-04-16T20:04:00+02:00,2026-04-16T20:07:19+02:00,1,199.0,Drammen,VYG:Line:R13,Drammen-Oslo S-Dal,rail,VYG:ServiceJourney:1658_443339-R
2026-04-16T20:14:00+02:00,2026-04-16T20:14:41+02:00,1,41.0,Asker,VYG:Line:R14,Asker-Oslo S-Kongsvinger,rail,VYG:ServiceJourney:1030_442941-R
2026-04-16T20:17:00+02:00,2026-04-16T20:17:02+02:00,1,2.0,Asker,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,rail,VYG:ServiceJourney:2159_443568-R
2026-04-16T20:24:00+02:00,2026-04-16T20:27:48+02:00,1,228.0,Kongsberg,VYG:Line:R12,Kongsberg-Oslo S-Eidsvoll,rail,VYG:ServiceJourney:531_444339-R
2026-04-16T20:31:00+02:00,2026-04-16T20:34:16+02:00,1,196.0,Spikkestad,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,rail,VYG:ServiceJourney:2261_443688-R
2026-04-16T20:34:00+02:00,2026-04-16T20:35:07+02:00,1,67.0,Drammen,VYG:Line:R13,Drammen-Oslo S-Dal,rail,VYG:ServiceJourney:1660_443344-R
2026-04-16T20:44:00+02:00,2026-04-16T20:44:28+02:00,1,28.0,Drammen,VYG:Line:RE10,Drammen-Oslo S-Lillehammer,rail,VYG:ServiceJourney:330-LHM_444236-R
