stationId,stationName,scheduledDeparture,expectedDeparture,actualDeparture,delaySeconds,isDelayed,destination,lineId,lineName,lineCode,transportMode,serviceJourneyId,realtime,delaySource,cancellation,situationSummary,situationDescription,situationReportType,situationSeverity,scrapedAt
NSR:StopPlace:58816,Dombås stasjon,2026-08-18T02:18:00+02:00,2026-08-18T02:20:16+02:00,2026-08-18T02:20:16+02:00,136.0,1,Oslo S,SJN:Line:21,Dovrebanen,F6,rail,SJN:ServiceJourney:406-TND_30133-R,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59648,Kjelsås stasjon,2026-08-18T02:18:00+02:00,2026-08-18T02:19:35+02:00,2026-08-18T02:19:35+02:00,95.0,1,Jernbanetorget,RUT:Line:3911,Majorstuen - Kjelsås,11N,bus,RUT:ServiceJourney:4e1847898d0362ea3740d9b966818d1b,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58811,Moelv stasjon,2026-08-18T02:02:30+02:00,2026-08-18T02:03:56+02:00,2026-08-18T02:03:56+02:00,86.0,1,Eidsvoll,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:838-341_515579-R,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58833,Gol stasjon,2026-08-18T02:09:00+02:00,2026-08-18T02:10:04+02:00,2026-08-18T02:10:04+02:00,64.0,1,Bergen,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:605-LOD_444356-R,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58891,Vegårshei stasjon,2026-08-18T02:01:00+02:00,2026-08-18T02:02:03+02:00,2026-08-18T02:02:03+02:00,63.0,1,Stavanger,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:725-LOD_67061-R,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:17,Ringebu stasjon,2026-08-18T02:09:00+02:00,2026-08-18T02:09:55+02:00,2026-08-18T02:09:55+02:00,55.0,1,Trondheim S,SJN:Line:21,Dovrebanen,F6,rail,SJN:ServiceJourney:405-LOD_30131-R,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:425,Vinstra stasjon,2026-08-18T02:27:00+02:00,2026-08-18T02:27:50+02:00,2026-08-18T02:27:50+02:00,50.0,1,Trondheim S,SJN:Line:21,Dovrebanen,F6,rail,SJN:ServiceJourney:405-LOD_30131-R,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58890,Nelaug stasjon,2026-08-18T02:17:00+02:00,2026-08-18T02:17:40+02:00,2026-08-18T02:17:40+02:00,40.0,1,Stavanger,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:725-LOD_67061-R,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58211,Oslo lufthavn,2026-08-18T02:15:00+02:00,2026-08-18T02:15:12+02:00,2026-08-18T02:15:12+02:00,12.0,1,Oslo sentrum via Helsfyr-Hasle-Bislett,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,Oslo sentrum via Helsfyr-Hasle-Bislett,FB5,bus,NBU:ServiceJourney:06e7211c-88da-48e8-a900-4d069a1d68f4,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:200,Finse stasjon,2026-08-18T02:00:00+02:00,2026-08-18T02:00:06+02:00,2026-08-18T02:00:06+02:00,6.0,1,Oslo S,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:606-BRG_481554-R,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:61295,Haugastøl stasjon,2026-08-18T02:18:00+02:00,2026-08-18T02:17:49+02:00,2026-08-18T02:17:49+02:00,0.0,0,Oslo S,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:606-BRG_481554-R,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-08-19T01:10:00+02:00,2026-08-18T01:10:17+02:00,2026-08-18T01:10:17+02:00,0.0,0,Sandnes,KOL:Line:8_1001,1,1,bus,KOL:ServiceJourney:1001_251008118354536_1127,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-08-19T01:47:00+02:00,2026-08-18T01:48:52+02:00,2026-08-18T01:48:52+02:00,0.0,0,Stavanger,KOL:Line:8_1001,1,1,bus,KOL:ServiceJourney:1001_251008118382652_2128,True,actual,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58924,Bryne stasjon,2026-08-19T00:10:00+02:00,2026-08-18T00:11:24+02:00,2026-08-18T00:11:24+02:00,0.0,0,Lyefjell,KOL:Line:8_2017,50,50,bus,KOL:ServiceJourney:2017_260407061541236_2036,True,actual,False,,,,,2026-08-18T00:11:39.624621+02:00
NSR:StopPlace:61295,Haugastøl stasjon,2026-08-18T03:29:00+02:00,2026-08-18T03:29:00+02:00,,0.0,0,Bergen,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:605-LOD_444356-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:4,Otta stasjon,2026-08-18T02:57:00+02:00,2026-08-18T02:57:00+02:00,,0.0,0,Trondheim S,SJN:Line:21,Dovrebanen,F6,rail,SJN:ServiceJourney:405-LOD_30131-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:4,Otta stasjon,2026-08-18T03:11:00+02:00,2026-08-18T03:11:00+02:00,,0.0,0,Oslo S,SJN:Line:21,Dovrebanen,F6,rail,SJN:ServiceJourney:406-TND_30133-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59649,Nydalen stasjon,2026-08-18T03:03:00+02:00,2026-08-18T03:03:00+02:00,,0.0,0,Oslo lufthavn,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,Radiumhospitalet via Økern-Storo-Tåsen,FB3,bus,NBU:ServiceJourney:1acabfe4-a7c3-4f3a-8e1d-d522228235e9,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59643,Grefsen stasjon,2026-08-18T03:08:00+02:00,2026-08-18T03:08:00+02:00,,0.0,0,Oslo lufthavn,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,Radiumhospitalet via Økern-Storo-Tåsen,FB3,bus,NBU:ServiceJourney:1acabfe4-a7c3-4f3a-8e1d-d522228235e9,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59650,Nyland stasjon,2026-08-18T03:22:00+02:00,2026-08-18T03:22:00+02:00,,0.0,0,Oslo lufthavn,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,Radiumhospitalet via Økern-Storo-Tåsen,FB3,bus,NBU:ServiceJourney:1acabfe4-a7c3-4f3a-8e1d-d522228235e9,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59620,Grorud stasjon,2026-08-18T03:24:00+02:00,2026-08-18T03:24:00+02:00,,0.0,0,Oslo lufthavn,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,Radiumhospitalet via Økern-Storo-Tåsen,FB3,bus,NBU:ServiceJourney:1acabfe4-a7c3-4f3a-8e1d-d522228235e9,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58921,Vennesla stasjon,2026-08-18T03:17:00+02:00,2026-08-18T03:17:00+02:00,,0.0,0,Stavanger,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:725-LOD_67061-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58832,Geilo stasjon,2026-08-18T02:42:00+02:00,2026-08-18T02:42:00+02:00,,0.0,0,Oslo S,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:606-BRG_481554-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58832,Geilo stasjon,2026-08-18T03:07:00+02:00,2026-08-18T03:07:00+02:00,,0.0,0,Bergen,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:605-LOD_444356-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58833,Gol stasjon,2026-08-18T03:25:00+02:00,2026-08-18T03:25:00+02:00,,0.0,0,Oslo S,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:606-BRG_481554-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58841,Ål stasjon,2026-08-18T02:31:00+02:00,2026-08-18T02:31:00+02:00,,0.0,0,Bergen,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:605-LOD_444356-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58841,Ål stasjon,2026-08-18T03:06:00+02:00,2026-08-18T03:06:00+02:00,,0.0,0,Oslo S,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:606-BRG_481554-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:358,Ustaoset stasjon,2026-08-18T02:30:00+02:00,2026-08-18T02:30:00+02:00,,0.0,0,Oslo S,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:606-BRG_481554-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:358,Ustaoset stasjon,2026-08-18T03:19:00+02:00,2026-08-18T03:19:00+02:00,,0.0,0,Bergen,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:605-LOD_444356-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:62456,Kvitfjell stasjon,2026-08-18T02:01:00+02:00,2026-08-18T02:01:00+02:00,,0.0,0,Trondheim S,SJN:Line:21,Dovrebanen,F6,rail,SJN:ServiceJourney:405-LOD_30131-R,True,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59957,Klepp stasjon,2026-08-19T00:27:00+02:00,2026-08-18T00:27:10+02:00,,0.0,0,Boreringen,KOL:Line:8_2024,59,59,bus,KOL:ServiceJourney:2024_260409073115717_2041,True,expected,False,,,,,2026-08-18T00:11:39.624621+02:00
NSR:StopPlace:58924,Bryne stasjon,2026-08-19T00:40:00+02:00,2026-08-18T00:40:28+02:00,,0.0,0,Lyefjell,KOL:Line:8_2017,50,50,bus,KOL:ServiceJourney:2017_260407061541417_2037,True,expected,False,,,,,2026-08-18T00:11:39.624621+02:00
NSR:StopPlace:61608,Kristiansand stasjon,2026-08-18T02:17:00+02:00,2026-08-18T02:17:00+02:00,,0.0,0,Oslo S,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:726-KVB_63257-R,False,planned,False,Innstillingen er opphevet. Vi kjører tog.,,general,severe,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59648,Kjelsås stasjon,2026-08-18T02:48:00+02:00,2026-08-18T02:48:00+02:00,,0.0,0,Jernbanetorget,RUT:Line:3911,Majorstuen - Kjelsås,11N,bus,RUT:ServiceJourney:5cc064f5f8d2041ab6375e2f8e22d665,False,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59648,Kjelsås stasjon,2026-08-18T03:18:00+02:00,2026-08-18T03:18:00+02:00,,0.0,0,Jernbanetorget,RUT:Line:3911,Majorstuen - Kjelsås,11N,bus,RUT:ServiceJourney:b717a8053e797b6b07113346f462a0fb,False,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59181,Kristinehamn station,2026-08-18T02:15:00+02:00,2026-08-18T02:15:00+02:00,,0.0,0,Karlstad,VYB:Line:26,850 Oslo - Arlanda - Stockholm,850,coach,VYB:ServiceJourney:7cef6f9d06b3084c5cd648a392b78e79f86a9bc4,False,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59181,Kristinehamn station,2026-08-18T02:35:00+02:00,2026-08-18T02:35:00+02:00,,0.0,0,Stockholm,VYB:Line:26,850 Oslo - Arlanda - Stockholm,850,coach,VYB:ServiceJourney:2094b187d5f04d2a2316b7c733683e92913cefea,False,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59182,Örebro Centralstation,2026-08-18T02:50:00+02:00,2026-08-18T02:50:00+02:00,,0.0,0,Arlanda,VYB:Line:26,850 Oslo - Arlanda - Stockholm,850,coach,VYB:ServiceJourney:10b2e4758894544f8ace957a0d24c160fccd39fb,False,planned,False,Örebro läge X,,general,normal,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59182,Örebro Centralstation,2026-08-18T03:10:00+02:00,2026-08-18T03:10:00+02:00,,0.0,0,Karlstad,VYB:Line:26,850 Oslo - Arlanda - Stockholm,850,coach,VYB:ServiceJourney:8470c5d763172480e86b1b6f8357e883e035865b,False,planned,False,Örebro läge X,,general,normal,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59393,Västerås Centralstation,2026-08-18T02:45:00+02:00,2026-08-18T02:45:00+02:00,,0.0,0,Arlanda,VYB:Line:26,850 Oslo - Arlanda - Stockholm,850,coach,VYB:ServiceJourney:b54ed62a64c9c2483c413e61158c2700b4c8964b,False,planned,False,Västerås,"Nytt holdeplassområde ved Västerås Resecentrum fra 16. mars. Den nye holdeplassen ligger på stasjonens vestside, rett ved jernbanespor 1B. Du finner den ved å følge parkeringsplassen til den bortre enden. ",general,normal,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:59639,Sonsveien stasjon,2026-08-18T02:32:00+02:00,2026-08-18T02:32:00+02:00,,0.0,0,Oslo lufthavn,VYX:Line:56,FB11 Fredrikstad-Oslo Lufthavn (OSL),FB11,bus,VYX:ServiceJourney:d44b33973888d082cc1bbd2bbc9d7ed7b306bb0a,False,planned,False,Forhåndsbestilling FB11,Billett må kjøpes på nett eller app senest 15 minutter før påstigning for at bussen skal kjøre innom holdeplassen. Ruter-billett er ikke gyldig. ,general,normal,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58624,Umeå Centralstation,2026-08-18T02:08:00+02:00,2026-08-18T02:08:00+02:00,,0.0,0,Luleå,SJV:Line:0ff9f2b9-fbe5-4761-8a29-8813be35efaa,Stockholm-Narvik (-Luleå),,rail,SJV:ServiceJourney:0eabfad4-c61e-4fc3-8a75-7ebd11c5a873,False,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58921,Vennesla stasjon,2026-08-18T02:36:00+02:00,2026-08-18T02:36:00+02:00,,0.0,0,Oslo S,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:726-KVB_63257-R,False,planned,False,Innstillingen er opphevet. Vi kjører tog.,,general,severe,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-08-18T02:10:00+02:00,2026-08-18T02:10:00+02:00,,0.0,0,Sandnes,KOL:Line:8_1001,1,1,bus,KOL:ServiceJourney:1001_251008118354645_1129,False,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-08-18T02:47:00+02:00,2026-08-18T02:47:00+02:00,,0.0,0,Stavanger,KOL:Line:8_1001,1,1,bus,KOL:ServiceJourney:1001_251008118382769_2130,False,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-08-18T03:10:00+02:00,2026-08-18T03:10:00+02:00,,0.0,0,Sandnes,KOL:Line:8_1001,1,1,bus,KOL:ServiceJourney:1001_251008118354756_1131,False,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:58816,Dombås stasjon,2026-08-18T03:28:00+02:00,2026-08-18T03:28:00+02:00,,0.0,0,Ålesund,VYX:Line:162,VY148 Ålesund-Oslo,VY148,coach,VYX:ServiceJourney:0a772f142078d2cf52813fca7b2fc0be7fff8273,False,planned,False,Forhåndsbestilling Vy,Billett må kjøpes på nett eller app senest 15 minutter før påstigning for at bussen skal kjøre innom holdeplassen.,general,normal,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:63381,Örnsköldsvik Centralstation,2026-08-18T02:53:00+02:00,2026-08-18T02:53:00+02:00,,0.0,0,"Sundsvall, Stockholm",SJV:Line:8ca80b34-505a-4d76-b047-58b01590d0e1,Luleå-Stockholm ,Luleå-Stockholm ,rail,SJV:ServiceJourney:a5d49afa-0d54-4c88-aed3-161717bb597d,False,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
NSR:StopPlace:63691,Vindeln station,2026-08-18T02:10:00+02:00,2026-08-18T02:10:00+02:00,,0.0,0,Luleå,SJV:Line:0ff9f2b9-fbe5-4761-8a29-8813be35efaa,Stockholm-Narvik (-Luleå),,rail,SJV:ServiceJourney:0eabfad4-c61e-4fc3-8a75-7ebd11c5a873,False,planned,False,,,,,2026-08-18T02:29:10.734143+02:00
