stationId,stationName,scheduledDeparture,expectedDeparture,actualDeparture,delaySeconds,isDelayed,destination,lineId,lineName,lineCode,transportMode,serviceJourneyId,realtime,delaySource,scrapedAt
NSR:StopPlace:61466,Vakås stasjon,2026-04-26T01:41:30+02:00,2026-04-26T01:48:09+02:00,2026-04-26T01:48:09+02:00,399.0,1,Drammen,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,L1,rail,VYG:ServiceJourney:2281_443720-R,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:61464,Hvalstad stasjon,2026-04-26T01:39:00+02:00,2026-04-26T01:46:12+02:00,2026-04-26T01:46:12+02:00,432.0,1,Drammen,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,L1,rail,VYG:ServiceJourney:2281_443720-R,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59872,Oslo S,2026-04-26T01:11:00+02:00,2026-04-26T01:15:27+02:00,2026-04-26T01:15:27+02:00,267.0,1,Drammen,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,L1,rail,VYG:ServiceJourney:2281_443720-R,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59646,Høvik stasjon,2026-04-26T01:26:00+02:00,2026-04-26T01:30:55+02:00,2026-04-26T01:30:55+02:00,295.0,1,Drammen,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,L1,rail,VYG:ServiceJourney:2281_443720-R,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59648,Kjelsås stasjon,2026-04-26T01:10:00+02:00,2026-04-26T01:10:48+02:00,2026-04-26T01:10:48+02:00,48.0,1,Kværnerbyen,RUT:Line:54,Kværnerbyen - Kjelsås stasjon,54,bus,RUT:ServiceJourney:efe72806a78a958f06ed6ffd1c8d7e4f,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59648,Kjelsås stasjon,2026-04-26T01:33:00+02:00,2026-04-26T01:33:58+02:00,2026-04-26T01:33:58+02:00,58.0,1,Majorstuen,RUT:Line:3912,Majorstuen - Kjelsås,12N,bus,RUT:ServiceJourney:0120d0a6a78696c48934623b7b75fdeb,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59648,Kjelsås stasjon,2026-04-26T01:40:00+02:00,2026-04-26T01:40:33+02:00,2026-04-26T01:40:33+02:00,33.0,1,Kværnerbyen,RUT:Line:54,Kværnerbyen - Kjelsås stasjon,54,bus,RUT:ServiceJourney:7ae79c586b02047316cd49d822ac8e50,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59648,Kjelsås stasjon,2026-04-26T01:48:00+02:00,2026-04-26T01:49:06+02:00,2026-04-26T01:49:06+02:00,66.0,1,Majorstuen,RUT:Line:3911,Majorstuen - Kjelsås,11N,bus,RUT:ServiceJourney:13fc509e20318a36b14322e50a36b17e,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59650,Nyland stasjon,2026-04-26T01:53:00+02:00,2026-04-26T01:54:33+02:00,2026-04-26T01:54:33+02:00,93.0,1,Jernbanetorget,RUT:Line:3905,Jernbanetorget - Vestli T,5N,bus,RUT:ServiceJourney:98ec18071daa4746e3c33d39e00b8240,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59651,Skøyen stasjon,2026-04-26T01:16:00+02:00,2026-04-26T01:18:24+02:00,2026-04-26T01:18:24+02:00,144.0,1,Grorud T,RUT:Line:31,Snarøya - Fornebu - Tonsenhagen - Grorud,31,bus,RUT:ServiceJourney:4052595be767be5bd1b56443d2631808,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59651,Skøyen stasjon,2026-04-26T01:17:00+02:00,2026-04-26T01:22:05+02:00,2026-04-26T01:22:05+02:00,305.0,1,Drammen,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,L1,rail,VYG:ServiceJourney:2281_443720-R,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59651,Skøyen stasjon,2026-04-26T01:46:00+02:00,2026-04-26T01:47:17+02:00,2026-04-26T01:47:17+02:00,77.0,1,Grorud T,RUT:Line:31,Snarøya - Fornebu - Tonsenhagen - Grorud,31,bus,RUT:ServiceJourney:e00800a424f35c931ceeae2591e5639d,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59651,Skøyen stasjon,2026-04-26T01:47:00+02:00,2026-04-26T01:48:55+02:00,2026-04-26T01:48:55+02:00,115.0,1,Helsfyr T,RUT:Line:20,Skøyen - Galgeberg,20,bus,RUT:ServiceJourney:80a79d3428f6ac723ff9c58bd39da288,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59654,Stabekk stasjon,2026-04-26T01:24:00+02:00,2026-04-26T01:28:13+02:00,2026-04-26T01:28:13+02:00,253.0,1,Drammen,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,L1,rail,VYG:ServiceJourney:2281_443720-R,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59654,Stabekk stasjon,2026-04-26T01:39:00+02:00,2026-04-26T01:41:23+02:00,2026-04-26T01:41:23+02:00,143.0,1,Gullhaug,RUT:Line:150,Gullhaug - Nationaltheatret,150,bus,RUT:ServiceJourney:fcb0c5260883fe46ba5238f3cc8b5106,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:59654,Stabekk stasjon,2026-04-26T01:52:00+02:00,2026-04-26T01:52:12+02:00,2026-04-26T01:52:12+02:00,12.0,1,Nationaltheatret,RUT:Line:150,Gullhaug - Nationaltheatret,150,bus,RUT:ServiceJourney:ba8fa2215e539cfa7f5b4b4c3de387d1,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:60944,Ski stasjon,2026-04-26T01:17:00+02:00,2026-04-26T01:17:22+02:00,2026-04-26T01:17:22+02:00,22.0,1,Oslo bussterminal,RUT:Line:515,Ski - Oslo,515,bus,RUT:ServiceJourney:5037ad96ff29fbc2751f391a89a1ddca,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:60944,Ski stasjon,2026-04-26T01:33:00+02:00,2026-04-26T01:33:24+02:00,2026-04-26T01:33:24+02:00,24.0,1,Nationaltheatret,RUT:Line:3981,Nationaltheatret - Ski,81N,bus,RUT:ServiceJourney:1876f8b505801a025ffbe633f4ed6d33,True,actual,2026-04-26T03:14:23.711740+02:00
NSR:StopPlace:60944,Ski stasjon,2026-04-26T01:42:00+02:00,2026-04-26T01:42:28+02:00,2026-04-26T01:42:28+02:00,28.0,1,Vinterbro,RUT:Line:520,Vinterbro - Ski stasjon,520,bus,RUT:ServiceJourney:d964ca773563556f1c34464b78eff20e,True,actual,2026-04-26T03:14:23.711740+02:00
