stationId,stationName,scheduledDeparture,expectedDeparture,actualDeparture,delaySeconds,isDelayed,destination,lineId,lineName,lineCode,transportMode,serviceJourneyId,realtime,delaySource,cancellation,situationSummary,situationDescription,situationReportType,situationSeverity,scrapedAt
NSR:StopPlace:58404,Nationaltheatret,2026-05-31T22:18:00+02:00,2026-05-31T22:59:59+02:00,2026-05-31T22:59:59+02:00,2519.0,1,Eidsvoll,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:834_444414-R,True,actual,False,Forsinket | Åpnet: Skoppum–Stokke | Toget kjører igjen,"Toget kjørte 38 minutter forsinket fra Stokke. Dette skyldes en tidligere stans. | Skoppum–Stokke er åpen for togtrafikk igjen. Togene kjører, men det kan ta litt tid før de er i rute. Du må derfor regne med forsinkelser. | Toget kjører igjen etter tidligere stans mellom Stokke og Tønsberg.",incident | general | general,normal | normal | normal,2026-05-31T23:21:34.954987+02:00
NSR:StopPlace:59651,Skøyen stasjon,2026-05-31T22:14:00+02:00,2026-05-31T22:55:54+02:00,2026-05-31T22:55:54+02:00,2514.0,1,Eidsvoll,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:834_444414-R,True,actual,False,Forsinket | Åpnet: Skoppum–Stokke | Toget kjører igjen,"Toget kjørte 38 minutter forsinket fra Stokke. Dette skyldes en tidligere stans. | Skoppum–Stokke er åpen for togtrafikk igjen. Togene kjører, men det kan ta litt tid før de er i rute. Du må derfor regne med forsinkelser. | Toget kjører igjen etter tidligere stans mellom Stokke og Tønsberg.",incident | general | general,normal | normal | normal,2026-05-31T23:11:36.932953+02:00
NSR:StopPlace:59616,Asker stasjon,2026-05-31T21:59:00+02:00,2026-05-31T22:40:47+02:00,2026-05-31T22:40:47+02:00,2507.0,1,Eidsvoll,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:834_444414-R,True,actual,False,Forsinket | Åpnet: Skoppum–Stokke | Toget kjører igjen,"Toget kjørte 38 minutter forsinket fra Stokke. Dette skyldes en tidligere stans. | Skoppum–Stokke er åpen for togtrafikk igjen. Togene kjører, men det kan ta litt tid før de er i rute. Du må derfor regne med forsinkelser. | Toget kjører igjen etter tidligere stans mellom Stokke og Tønsberg.",incident | general | general,normal | normal | normal,2026-05-31T23:02:02.484946+02:00
NSR:StopPlace:610,Sandvika stasjon,2026-05-31T22:05:00+02:00,2026-05-31T22:46:30+02:00,2026-05-31T22:46:30+02:00,2490.0,1,Eidsvoll,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:834_444414-R,True,actual,False,Forsinket | Åpnet: Skoppum–Stokke | Heis på Sandvika ute av drift | Toget kjører igjen,"Toget kjørte 38 minutter forsinket fra Stokke. Dette skyldes en tidligere stans. | Skoppum–Stokke er åpen for togtrafikk igjen. Togene kjører, men det kan ta litt tid før de er i rute. Du må derfor regne med forsinkelser. | Heisen på Sandvika til spor 1 og 2 er ute av drift. | Toget kjører igjen etter tidligere stans mellom Stokke og Tønsberg.",incident | general | general | general,normal | normal | normal | normal,2026-05-31T23:02:02.484946+02:00
NSR:StopPlace:58856,Lysaker stasjon,2026-05-31T22:11:00+02:00,2026-05-31T22:52:21+02:00,2026-05-31T22:52:21+02:00,2481.0,1,Eidsvoll,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:834_444414-R,True,actual,False,Forsinket | Åpnet: Skoppum–Stokke | Toget kjører igjen,"Toget kjørte 38 minutter forsinket fra Stokke. Dette skyldes en tidligere stans. | Skoppum–Stokke er åpen for togtrafikk igjen. Togene kjører, men det kan ta litt tid før de er i rute. Du må derfor regne med forsinkelser. | Toget kjører igjen etter tidligere stans mellom Stokke og Tønsberg.",incident | general | general,normal | normal | normal,2026-05-31T23:11:36.932953+02:00
NSR:StopPlace:59952,Drammen stasjon,2026-05-31T21:47:00+02:00,2026-05-31T22:28:05+02:00,2026-05-31T22:28:05+02:00,2465.0,1,Eidsvoll,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:834_444414-R,True,actual,False,Forsinket | Åpnet: Skoppum–Stokke | Toget kjører igjen,"Toget kjørte 38 minutter forsinket fra Stokke. Dette skyldes en tidligere stans. | Skoppum–Stokke er åpen for togtrafikk igjen. Togene kjører, men det kan ta litt tid før de er i rute. Du må derfor regne med forsinkelser. | Toget kjører igjen etter tidligere stans mellom Stokke og Tønsberg.",incident | general | general,normal | normal | normal,2026-05-31T22:46:22.897341+02:00
NSR:StopPlace:59872,Oslo S,2026-05-31T22:24:00+02:00,2026-05-31T23:03:24+02:00,2026-05-31T23:03:24+02:00,2364.0,1,Eidsvoll,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:834_444414-R,True,actual,False,Forsinket | Åpnet: Skoppum–Stokke | Toget kjører igjen,"Toget kjørte 38 minutter forsinket fra Stokke. Dette skyldes en tidligere stans. | Skoppum–Stokke er åpen for togtrafikk igjen. Togene kjører, men det kan ta litt tid før de er i rute. Du må derfor regne med forsinkelser. | Toget kjører igjen etter tidligere stans mellom Stokke og Tønsberg.",incident | general | general,normal | normal | normal,2026-05-31T23:21:34.954987+02:00
NSR:StopPlace:58870,Holmestrand stasjon,2026-05-31T21:28:00+02:00,2026-05-31T22:06:50+02:00,2026-05-31T22:06:50+02:00,2330.0,1,Eidsvoll,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:834_444414-R,True,actual,False,Forsinket | Åpnet: Skoppum–Stokke | Toget kjører igjen,"Toget kjørte 38 minutter forsinket fra Stokke. Dette skyldes en tidligere stans. | Skoppum–Stokke er åpen for togtrafikk igjen. Togene kjører, men det kan ta litt tid før de er i rute. Du må derfor regne med forsinkelser. | Toget kjører igjen etter tidligere stans mellom Stokke og Tønsberg.",incident | general | general,normal | normal | normal,2026-05-31T22:31:44.267237+02:00
NSR:StopPlace:62339,Lillestrøm stasjon,2026-05-31T22:35:00+02:00,2026-05-31T23:13:33+02:00,2026-05-31T23:13:33+02:00,2313.0,1,Eidsvoll,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:834_444414-R,True,actual,False,Forsinket | Åpnet: Skoppum–Stokke,"Toget kjørte 38 minutter forsinket fra Stokke. Dette skyldes en tidligere stans. | Skoppum–Stokke er åpen for togtrafikk igjen. Togene kjører, men det kan ta litt tid før de er i rute. Du må derfor regne med forsinkelser.",incident | general,normal | normal,2026-05-31T23:31:45.098436+02:00
NSR:StopPlace:58876,Tønsberg stasjon,2026-05-31T21:09:00+02:00,2026-05-31T21:47:19+02:00,2026-05-31T21:47:19+02:00,2299.0,1,Eidsvoll,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:834_444414-R,True,actual,False,Forsinket | Åpnet: Skoppum–Stokke | Toget kjører igjen,"Toget kjørte 38 minutter forsinket fra Stokke. Dette skyldes en tidligere stans. | Skoppum–Stokke er åpen for togtrafikk igjen. Togene kjører, men det kan ta litt tid før de er i rute. Du må derfor regne med forsinkelser. | Toget kjører igjen etter tidligere stans mellom Stokke og Tønsberg.",incident | general | general,normal | normal | normal,2026-05-31T22:11:41.490908+02:00
