scheduledDeparture,actualDeparture,isDelayed,delaySeconds,destination,routeId,routeName,transportMode,serviceJourneyId
2026-04-30T19:01:00+02:00,2026-04-30T19:04:07+02:00,1,187.0,Spikkestad,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,rail,VYG:ServiceJourney:2255_443677-R
2026-04-30T18:44:00+02:00,2026-04-30T19:07:43+02:00,1,1423.0,Drammen,VYG:Line:RE10,Drammen-Oslo S-Lillehammer,rail,VYG:ServiceJourney:326-LHM_444219-R
2026-04-30T19:04:00+02:00,2026-04-30T19:15:19+02:00,1,679.0,Drammen,VYG:Line:R13,Drammen-Oslo S-Dal,rail,VYG:ServiceJourney:1654_443330-R
2026-04-30T19:24:00+02:00,2026-04-30T19:32:09+02:00,1,489.0,Kongsberg,VYG:Line:R12,Kongsberg-Oslo S-Eidsvoll,rail,VYG:ServiceJourney:529_444336-R
2026-04-30T19:31:00+02:00,2026-04-30T19:39:06+02:00,1,486.0,Spikkestad,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,rail,VYG:ServiceJourney:2257_443680-R
2026-04-30T19:44:00+02:00,2026-04-30T19:59:18+02:00,1,918.0,Drammen,VYG:Line:RE10,Drammen-Oslo S-Lillehammer,rail,VYG:ServiceJourney:328-LHM_465030-R
2026-04-30T19:54:00+02:00,2026-04-30T19:54:00+02:00,0,0.0,Skien,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,rail,VYG:ServiceJourney:831_444411-R
2026-04-30T20:14:00+02:00,2026-04-30T20:14:00+02:00,0,0.0,Asker,VYG:Line:R14,Asker-Oslo S-Kongsvinger,rail,VYG:ServiceJourney:1030_442941-R
2026-04-30T20:01:00+02:00,2026-04-30T20:01:00+02:00,0,0.0,Spikkestad,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,rail,VYG:ServiceJourney:2259_443684-R
2026-04-30T20:24:00+02:00,2026-04-30T20:24:00+02:00,0,0.0,Kongsberg,VYG:Line:R12,Kongsberg-Oslo S-Eidsvoll,rail,VYG:ServiceJourney:531_444339-R
2026-04-30T20:34:00+02:00,2026-04-30T20:34:00+02:00,0,0.0,Drammen,VYG:Line:R13,Drammen-Oslo S-Dal,rail,VYG:ServiceJourney:1660_443344-R
2026-04-30T20:31:00+02:00,2026-04-30T20:31:00+02:00,0,0.0,Spikkestad,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,rail,VYG:ServiceJourney:2261_443688-R
2026-04-30T20:44:00+02:00,2026-04-30T20:44:00+02:00,0,0.0,Drammen,VYG:Line:RE10,Drammen-Oslo S-Lillehammer,rail,VYG:ServiceJourney:330-LHM_444236-R
